lr-Adam,step,train/loss,epoch,val/loss,val/CER,val/IER,val/DER,val/SER,train/CER,train/IER,train/DER,train/SER,test/loss,test/CER,test/IER,test/DER,test/SER
,2049,1.4879584312438965,17,,,,,,,,,,,,,,
,2099,1.5285700559616089,17,,,,,,,,,,,,,,
,2149,1.346909523010254,17,,,,,,,,,,,,,,
,2159,,17,1.2731356620788574,41.02791213989258,17.877714157104492,3.3673017024993896,19.78289794921875,,,,,,,,,
,2159,,17,,,,,,44.80110168457031,19.128698348999023,2.6648313999176025,23.007570266723633,,,,,
0.0009046039886902864,2160,,,,,,,,,,,,,,,,
,2199,1.201400637626648,18,,,,,,,,,,,,,,
,2249,1.3940900564193726,18,,,,,,,,,,,,,,
,2279,,18,1.3691433668136597,44.92689514160156,24.900310516357422,1.6614975929260254,18.36508560180664,,,,,,,,,
,2279,,18,,,,,,42.02169418334961,17.137516021728516,2.9405698776245117,21.943607330322266,,,,,
0.0008803227798172156,2280,,,,,,,,,,,,,,,,
,2299,1.2637723684310913,19,,,,,,,,,,,,,,
,2349,1.2387856245040894,19,,,,,,,,,,,,,,
,2399,1.5120291709899902,19,,,,,,,,,,,,,,
,2399,,19,1.3927894830703735,46.23394012451172,27.4257869720459,1.3070447444915771,17.501108169555664,,,,,,,,,
,2399,,19,,,,,,39.66288757324219,15.28124713897705,3.0183653831481934,21.36327362060547,,,,,
0.0008536998372026805,2400,,,,,,,,,,,,,,,,
,2449,1.1383665800094604,20,,,,,,,,,,,,,,
,2499,1.0851351022720337,20,,,,,,,,,,,,,,
,2519,,20,1.0214303731918335,33.89455032348633,12.715994834899902,3.212228536605835,17.966327667236328,,,,,,,,,
,2519,,20,,,,,,36.826087951660156,13.410082817077637,3.1259896755218506,20.290014266967773,,,,,
0.0008248993001409269,2520,,,,,,,,,,,,,,,,
,2549,0.9446924924850464,21,,,,,,,,,,,,,,
,2599,1.0649043321609497,21,,,,,,,,,,,,,,
,2639,,21,0.999459445476532,31.856447219848633,10.611431121826172,3.4780681133270264,17.76694679260254,,,,,,,,,
,2639,,21,,,,,,35.08121109008789,12.03589153289795,3.034050703048706,20.011268615722656,,,,,
0.0007940987335200904,2640,,,,,,,,,,,,,,,,
,2649,1.161107063293457,22,,,,,,,,,,,,,,
,2699,1.0032463073730469,22,,,,,,,,,,,,,,
,2749,0.9358465671539307,22,,,,,,,,,,,,,,
,2759,,22,0.9418367147445679,30.70447540283203,10.766504287719727,3.5223748683929443,16.41559600830078,,,,,,,,,
